"bssid","ssid","apId"
"38:17:C3:2A:3C:A0",HotSpot - UI,1
B8:37:B2:EB:02:60,HotSpot - UI,1
"38:17:C3:2A:1A:60",HotSpot - UI,1
"38:17:C3:2A:43:30",HotSpot - UI,1
"38:17:C3:18:13:F0",HotSpot - UI,1
"38:17:C3:2A:1A:70",HotSpot - UI,1
"38:17:C3:18:00:60",HotSpot - UI,1
"9C:1C:12:D8:88:90",HotSpot - UI,1
B8:37:B2:EC:B9:20,HotSpot - UI,1
"38:17:C3:18:15:E0",HotSpot - UI,1
"9C:1C:12:D7:F4:B0",HotSpot - UI,1
"38:17:C3:2A:12:F0",HotSpot - UI,1
"38:17:C3:18:01:60",HotSpot - UI,1
"38:17:C3:2A:36:40",HotSpot - UI,1
"38:17:C3:2A:06:D0",HotSpot - UI,1
"38:17:C3:2A:2E:30",HotSpot - UI,1
"38:17:C3:2A:4C:30",HotSpot - UI,1
"38:17:C3:2A:06:C0",HotSpot - UI,1
"38:17:C3:2A:27:D0",HotSpot - UI,1
"38:17:C3:2A:0F:50",HotSpot - UI,1
"9C:1C:12:D8:F7:D0",HotSpot - UI,1
"9C:1C:12:D8:F7:C0",HotSpot - UI,1
"74:9E:75:74:8C:20",HotSpot - UI,1
"38:17:C3:18:05:10",HotSpot - UI,1
"38:17:C3:2A:40:90",HotSpot - UI,1
"38:17:C3:2A:2D:30",HotSpot - UI,1
"38:17:C3:18:0C:E0",HotSpot - UI,1
"38:17:C3:2A:4C:20",HotSpot - UI,1
"38:17:C3:18:06:60",HotSpot - UI,1
"38:17:C3:2A:30:10",HotSpot - UI,1
"38:17:C3:2A:40:80",HotSpot - UI,1
F0:5C:19:85:81:B1,HotSpot - UI,1
"38:17:C3:2A:32:30",HotSpot - UI,1
"38:17:C3:18:00:70",HotSpot - UI,1
"38:17:C3:18:00:90",HotSpot - UI,1
"38:17:C3:2A:42:B0",HotSpot - UI,1
"38:17:C3:2A:12:E0",HotSpot - UI,1
"38:17:C3:2A:4A:80",HotSpot - UI,1
"38:17:C3:2A:27:C0",HotSpot - UI,1
"74:9E:75:74:8C:30",HotSpot - UI,1
"38:17:C3:18:00:C0",HotSpot - UI,1
B8:37:B2:E8:78:50,HotSpot - UI,1
"38:17:C3:2A:48:50",HotSpot - UI,1
"74:9E:75:78:4B:E0",HotSpot - UI,1
"38:17:C3:2A:40:D0",HotSpot - UI,1
"38:17:C3:2A:48:40",HotSpot - UI,1
"38:17:C3:2A:3C:B0",HotSpot - UI,1
"38:17:C3:2A:1A:10",HotSpot - UI,1
B8:37:B2:E8:07:E0,HotSpot - UI,1
"74:9E:75:75:24:80",HotSpot - UI,1
"38:17:C3:2A:38:80",HotSpot - UI,1
"38:17:C3:18:13:E0",HotSpot - UI,1
"9C:1C:12:D9:22:00",HotSpot - UI,1
"9C:1C:12:D7:FE:F0",HotSpot - UI,1
B8:37:B2:EC:39:60,HotSpot - UI,1
"38:17:C3:18:06:30",HotSpot - UI,1
"38:17:C3:2A:43:20",HotSpot - UI,1
"38:17:C3:18:0C:F0",HotSpot - UI,1
"38:17:C3:2A:1A:00",HotSpot - UI,1
"38:17:C3:2A:42:A0",HotSpot - UI,1
"9C:1C:12:D7:FE:E0",HotSpot - UI,1
"9C:1C:12:D8:88:80",HotSpot - UI,1
"38:17:C3:2A:31:C0",HotSpot - UI,1
"38:17:C3:18:14:20",HotSpot - UI,1
"9C:1C:12:D7:F4:A0",HotSpot - UI,1
"38:17:C3:18:14:30",HotSpot - UI,1
"38:17:C3:18:00:80",HotSpot - UI,1
"38:17:C3:2A:32:20",HotSpot - UI,1
"38:17:C3:18:06:70",HotSpot - UI,1
"38:17:C3:2A:11:60",HotSpot - UI,1
"38:17:C3:2A:25:90",HotSpot - UI,1
"38:17:C3:18:02:C0",HotSpot - UI,27
"38:17:C3:18:05:E0",HotSpot - UI,20
"38:17:C3:18:02:D0",HotSpot - UI,27
"38:17:C3:18:05:F0",HotSpot - UI,20
"38:17:C3:18:07:60",HotSpot - UI,21
"38:17:C3:18:07:70",HotSpot - UI,21
"38:17:C3:18:13:80",HotSpot - UI,35
"38:17:C3:18:13:90",HotSpot - UI,35
"38:17:C3:1A:0A:20",HotSpot - UI,18
"38:17:C3:1A:0A:30",HotSpot - UI,18
"38:17:C3:2A:0C:80",HotSpot - UI,40
"38:17:C3:2A:0E:00",HotSpot - UI,16
"38:17:C3:2A:0E:10",HotSpot - UI,16
"38:17:C3:2A:10:A0",HotSpot - UI,23
"38:17:C3:2A:10:B0",HotSpot - UI,23
"38:17:C3:2A:19:C0",HotSpot - UI,19
"38:17:C3:2A:19:D0",HotSpot - UI,19
"38:17:C3:2A:1C:60",HotSpot - UI,30
"38:17:C3:2A:1C:70",HotSpot - UI,30
"38:17:C3:2A:3E:A0",HotSpot - UI,29
"38:17:C3:2A:3E:B0",HotSpot - UI,29
"38:17:C3:2A:26:40",HotSpot - UI,26
"38:17:C3:2A:26:50",HotSpot - UI,26
"38:17:C3:2A:1F:00",HotSpot - UI,25
"38:17:C3:2A:1F:10",HotSpot - UI,25
"38:17:C3:2A:23:E0",HotSpot - UI,22
"38:17:C3:2A:23:F0",HotSpot - UI,22
"38:17:C3:2A:25:A0",HotSpot - UI,28
"38:17:C3:2A:25:B0",HotSpot - UI,28
"38:17:C3:2A:3D:D0",HotSpot - UI,37
"38:17:C3:2A:43:00",HotSpot - UI,24
"38:17:C3:2A:43:10",HotSpot - UI,24
"38:17:C3:2A:46:10",HotSpot - UI,31
"38:17:C3:2A:48:00",HotSpot - UI,33
"38:17:C3:2A:48:10",HotSpot - UI,33
"38:17:C3:2A:49:80",HotSpot - UI,41
"38:17:C3:2A:49:90",HotSpot - UI,41
"38:17:C3:2A:4D:80",HotSpot - UI,34
"38:17:C3:2A:4D:90",HotSpot - UI,34
"38:17:C3:2A:0B:90",HotSpot - UI,1
"38:17:C3:2A:0B:80",HotSpot - UI,1
"38:17:C3:2A:16:E0",HotSpot - UI,1
"38:17:C3:18:01:70",HotSpot - UI,1
"34:FC:B9:7E:1A:C0",HotSpot - UI,1
"38:17:C3:2A:25:80",HotSpot - UI,1
"38:17:C3:2A:40:C0",HotSpot - UI,1
"38:17:C3:18:11:F0",HotSpot - UI,1
"38:17:C3:2A:30:00",HotSpot - UI,1
"38:17:C3:2A:4F:30",HotSpot - UI,1
"38:17:C3:2A:41:E0",HotSpot - UI,1
"38:17:C3:2A:4A:90",HotSpot - UI,1
"74:9E:75:77:C8:D0",HotSpot - UI,1
"38:17:C3:2A:4F:20",HotSpot - UI,1
"38:17:C3:2A:31:D0",HotSpot - UI,1
"38:17:C3:18:03:80",HotSpot - UI,1
"38:17:C3:18:05:00",HotSpot - UI,1
"74:9E:75:78:4B:F0",HotSpot - UI,1
"9C:1C:12:D7:FB:A0",HotSpot - UI,1
"38:17:C3:2A:16:F0",HotSpot - UI,1
"38:17:C3:18:14:B0",HotSpot - UI,1
"38:17:C3:2A:40:E0",HotSpot - UI,1
"74:9E:75:72:28:20",HotSpot - UI,1
"38:17:C3:2A:13:F0",HotSpot - UI,1
"38:17:C3:2A:11:70",HotSpot - UI,1
"38:17:C3:2A:41:F0",HotSpot - UI,1
B8:37:B2:EC:39:70,HotSpot - UI,1
B8:37:B2:E8:07:F0,HotSpot - UI,1
B8:37:B2:E8:78:40,HotSpot - UI,1
B8:37:B2:EC:B9:30,HotSpot - UI,1
"38:17:C3:18:11:E0",HotSpot - UI,1
"74:9E:75:72:28:30",HotSpot - UI,1
B8:37:B2:EC:40:80,HotSpot - UI,1
"38:17:C3:2A:36:50",HotSpot - UI,1
"38:17:C3:18:14:A0",HotSpot - UI,1
"38:17:C3:2A:0F:40",HotSpot - UI,1
"38:17:C3:2A:40:F0",HotSpot - UI,1
"38:17:C3:2A:2B:50",HotSpot - UI,1
"38:17:C3:18:00:D0",HotSpot - UI,1
"34:FC:B9:7E:1A:D0",HotSpot - UI,1
"38:17:C3:2A:13:E0",HotSpot - UI,1
"38:17:C3:18:03:90",HotSpot - UI,1
"38:17:C3:2A:2E:20",HotSpot - UI,1
"38:17:C3:2A:2D:20",HotSpot - UI,1
B8:37:B2:EC:40:90,HotSpot - UI,1
F0:5C:19:87:2B:F0,HotSpot - UI,1
"38:17:C3:18:06:20",HotSpot - UI,1
F0:5C:19:85:81:A1,HotSpot - UI,1
"9C:1C:12:D7:FB:B0",HotSpot - UI,1
"38:17:C3:2A:38:90",HotSpot - UI,1
"38:17:C3:2A:2B:40",HotSpot - UI,1
"38:17:C3:18:15:F0",HotSpot - UI,1
"38:17:C3:1A:05:20",HotSpot - UI,38
"38:17:C3:1A:05:30",HotSpot - UI,38
"38:17:C3:2A:0C:90",HotSpot - UI,40
"38:17:C3:2A:16:C0",HotSpot - UI,39
"38:17:C3:2A:16:D0",HotSpot - UI,39
"38:17:C3:2A:1A:80",HotSpot - UI,36
"38:17:C3:2A:1A:90",HotSpot - UI,36
"38:17:C3:2A:3D:C0",HotSpot - UI,37
"38:17:C3:2A:46:00",HotSpot - UI,31
"38:17:C3:2A:49:C0",HotSpot - UI,32
"38:17:C3:2A:49:D0",HotSpot - UI,32
