id,floorId,name,poiX,poiY,roomType
187,10,A7.12,561.362199,1234.25,room
188,10,A7.13,561.1039303,1472,room
189,10,A7.14,168.1670779,1472.5,room
190,10,A7.15,168.382674,1235,room
191,10,A7.16,167.3740903,960.25,room
192,10,A7.17,185.3576316,716.25,room
193,10,Lift,185.3384166,590.75,room
194,10,Lift,185.3384166,515.75,room
195,10,A7.18,186.5880229,424.75,room
196,10,A7.19,70.87810649,527.25,room
197,10,A7.22,60.13149273,608.25,room
198,10,A7.21,117.363459,712.75,room
199,10,A7.20,63.00740248,717.5,room
1,1,Room for scanning APs,0,0,room
111,7,A5.01,130.2333756,172,room
112,7,A5.02,308.6771482,172,room
113,7,A5.03,545.1769907,198.5,room
114,7,A5.04,442.7190431,515.5,room
119,7,A5.09,661.1502158,919.5,room
120,7,A5.10,582.0637679,919.75,room
121,7,A5.11,504.0883379,919.25,room
122,7,A5.12,424.8633015,919.75,room
123,7,A5.13,661.5639254,1064,room
124,7,A5.14,581.8390466,1063.75,room
125,7,A5.15,503.6136953,1064,room
126,7,A5.16,424.388659,1064,room
127,7,A5.19,168.7959029,1467,room
128,7,A5.20,168.7959029,1229.5,room
129,7,A5.21,168.7959029,956.5,room
130,7,A5.22,189.1393677,713.5,room
131,7,Lift,188.6159003,587.75,room
132,7,Lift,188.1160578,511.5,room
133,7,A5.23,188.365979,421,room
134,7,A5.24,71.62487775,522.25,room
135,7,A5.25,65.50755998,716.5,room
136,7,A5.26,121.3592065,707.5,room
137,7,A5.27,61.87794899,603,room
138,7,A5.17,543.4429866,1231.75,room
139,7,A5.18,543.738888,1470,room
143,7,Koridor kanan,346.2144756,1302,corridor
144,7,Koridor tengah,350.0001258,808.0293678,corridor
145,7,Koridor kiri,348.0022647,359.9993752,corridor
115,7,A5.05,660.1505308,828,room
116,7,A5.06,582.1751007,828,room
117,7,A5.07,504.1996707,828,room
118,7,A5.08,425.2245556,828,room
147,9,Koridor kiri,309.6193653,488.25,corridor
148,9,Koridor tengah,306.002205,750,corridor
149,9,Koridor kanan,343.748968,1266.5,corridor
150,9,A6.01,205.7722779,170,room
151,9,A6.02,540.1643908,281,room
152,9,A6.03,681.3314866,827.5,room
153,9,A6.04,581.862829,827.5,room
154,9,A6.05,503.6374777,827.5,room
155,9,A6.06,421.6633076,827,room
156,9,A6.07,561.2790504,993,room
157,9,A6.08,562.2444005,1230.5,room
158,9,A6.09,561.2447155,1467.5,room
159,9,A6.10,168.3685102,1471,room
160,9,A6.11,168.8683527,1234,room
161,9,A6.12,168.3675652,1032,room
162,9,A6.13,264.6588977,895.5,room
163,9,A6.14,185.4338613,896,room
164,9,A6.15,88.71433749,877.5,room
165,9,A6.16,185.4338613,717.75,room
166,9,Lift,185.1839401,591.25,room
167,9,Lift,185.4338613,514.25,room
168,9,A6.17,184.9340188,423.75,room
169,9,A6.18,71.46945622,524.75,room
170,9,A6.20,117.4549663,709.25,room
171,9,A6.21,60.22299996,604.5,room
172,9,A6.19,64.50708748,717,room
173,10,Koridor kiri,157.010395,348,corridor
174,10,Koridor tengah,343.9634601,838,corridor
175,10,Koridor kanan,344.4225117,1272,corridor
176,10,A7.01,166.737943,178.5,room
177,10,A7.03,681.0884954,769,room
178,10,A7.02,523.7801529,379.5,room
179,10,A7.04,580.6110178,768.75,room
180,10,A7.05,500.1363752,768.75,room
181,10,A7.06,421.4111814,768.5,room
182,10,A7.07,680.0321105,910.5,room
183,10,A7.08,579.5637679,910.5,room
184,10,A7.09,501.5883379,910,room
185,10,A7.10,421.6135378,910,room
186,10,A7.11,561.385194,1036.25,room
