"id","roomId","subjectId","startTime","endTime"
41,1,41,2024-03-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
1001,187,42,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
42,190,43,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
43,189,44,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
20,112,20,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
21,111,21,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
23,139,23,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
24,127,24,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
25,128,25,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
26,150,26,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
27,151,27,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
28,156,28,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
29,157,29,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
30,158,30,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
31,159,31,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
32,160,32,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
33,161,33,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
22,138,22,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
19,113,19,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
102,143,45,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
1,149,46,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
2,175,47,2024-04-26 02:00:00.000 +0700,2024-06-04 16:00:00.000 +0700
