id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
65ddf4bb-58a2-450e-9b28-ce4122e765e1,c43271be3f779b33c2e601528bd6efc6520cfb95dee364668e472df87d550e87,2024-04-22 07:32:59.346251+00,20240222021820_init,,,2024-04-22 07:32:59.142829+00,1
31f0582a-2b03-4dad-aea2-fd550e699d2f,c70708b56e1b1d7159e3bbf4869a6a0559453cc290dc4151a43df2596459adea,2024-04-22 07:33:03.159396+00,20240416144255_,,,2024-04-22 07:33:02.939591+00,1
14712fa3-9837-4ee1-91ef-537cb8fbb2d1,a20159ce6b906a94271282a628a18578bd24421e7e3705b69af02ad246fd536d,2024-04-22 07:32:59.605132+00,20240222022150_,,,2024-04-22 07:32:59.418385+00,1
0245833f-e658-41e1-8ce6-8ae2890d2b28,073bd52053e0ac2d6fda5ca0c7afb9e977f4d29bcff2d9926c5f457f2be99f4c,2024-04-22 07:32:59.857381+00,20240222023012_add_location,,,2024-04-22 07:32:59.676404+00,1
275b8ca4-c11c-48a3-97fc-faff2b5a1dd1,1fc6f8bfa421bf89b50cda922f96ff0d9d190dafa8e331bd30ee05e8acea7b7d,2024-04-22 07:33:00.11225+00,20240222111904_add_rssi_col,,,2024-04-22 07:32:59.928315+00,1
4fbb9dc6-4aec-4f58-bd5c-11c2256424cf,c9f8421ad79b75c14840a01e26e832b83643e84b8210fae874bb51d4a2e35071,2024-04-22 07:33:03.425903+00,20240417050404_,,,2024-04-22 07:33:03.231943+00,1
5a7bc745-e01e-4166-891d-a9466eec3ef1,dde78af857d5fc9d5269bb280240bac83ecefdc46e6e44f8925b864f4893bfd6,2024-04-22 07:33:00.402709+00,20240306054114_,,,2024-04-22 07:33:00.180894+00,1
4db5f4d5-2025-4023-921f-a0a1b833cb1f,b8572c0288322ed29df053421b370559a30b15c3e2fb6e5c3d2fdb6575a92a33,2024-04-22 07:33:00.655739+00,20240309022012_make_room_id_null,,,2024-04-22 07:33:00.470766+00,1
8471729d-8990-4cdc-b79b-8d782f768cbc,4fcc799d702d32591e38887affb8a1d361603188b01d1d30062d3dc387cc59d2,2024-04-22 07:33:00.930332+00,20240309022228_remove_not_needed_unique_constraint,,,2024-04-22 07:33:00.731274+00,1
9f4d2eb5-3967-4f46-a2ed-a0e5535a83b3,f869a15153085a618d083b6a022560370db6cf01fc124f4e4606194e0f59586b,2024-04-22 07:33:03.693132+00,20240417050438_,,,2024-04-22 07:33:03.500584+00,1
aa82c802-2f40-44ac-91c1-4e92d4186ee6,7862a71c35e677784823427f2b61dece327fafb4698edb2949ecb6051616180e,2024-04-22 07:33:01.181411+00,20240312081033_floor_room_hotfix,,,2024-04-22 07:33:01.001693+00,1
f3682c16-6a73-45a8-96e7-9e1c61541032,441f8cc848a8600dea11d6dca2cdc0c3410103da6b59506fc356c2eaa751c9fb,2024-04-22 07:33:01.46106+00,20240409033548_,,,2024-04-22 07:33:01.262031+00,1
adce2113-2456-43a7-9e82-a13e60f8e946,254d4796bb00e77fbec5e4d18d12e9e464a59089b03cb9646c651f7e0d4a41b3,2024-04-22 07:33:01.725625+00,20240409042444_,,,2024-04-22 07:33:01.537425+00,1
657faa85-83c9-457f-a389-496689731772,6fffe7504d3e1987985402544773fc942116b58d345ffb3945a8a8b8c3e2afe7,2024-04-22 07:33:03.948401+00,20240417061647_,,,2024-04-22 07:33:03.766281+00,1
8e49a369-c9d0-4a9d-b308-1b3447194833,25e090700351c89d8d3038d5b621a8944c49d9ccdfa112006a5ee4cd8196391c,2024-04-22 07:33:01.993688+00,20240413042915_,,,2024-04-22 07:33:01.795855+00,1
537015ed-7b9e-458c-8e33-f70542e4feba,1fe9035e2d8834a7aed91ccf5409a3ebb6f6c00f9a8bfa5d2d3c34054831dac3,2024-04-22 07:33:02.322227+00,20240413044258_,,,2024-04-22 07:33:02.066058+00,1
a879b89e-f35c-4ecf-82f3-857004498e4b,ed3394cb0c228a8d24a6124a5be0700773c854ae2d171b47dfafecaf374c339d,2024-04-22 07:33:02.576018+00,20240416134215_,,,2024-04-22 07:33:02.396818+00,1
d6a91042-3631-4255-a86c-4b69a8c72635,6ba79a2e20d14eb3c791e9cf5ce334cc40d1bca8f0cf89295b39b2300cb98f4c,2024-04-22 07:33:04.218777+00,20240419090717_,,,2024-04-22 07:33:04.021713+00,1
3e1f98cd-1595-45ff-83d6-fc626b13d8a2,04d272265c20a8a58d81b887fe558f84394c6fac2cc2cf9f7a58db5c76b5027b,2024-04-22 07:33:02.864116+00,20240416140010_,,,2024-04-22 07:33:02.648319+00,1
3595e3b7-5ef5-4223-9191-afcde076f420,1fb849e123191607004b9baa7c1bffdc2d51e88dab6a305df32dcf350d147ed2,2024-04-22 07:33:04.476913+00,20240419090904_,,,2024-04-22 07:33:04.292388+00,1
c68ce712-809e-4be7-9d17-1c9bf69cdb1f,fe477754912e813b5bd416519426e60447d7ffa5849a48a0c59e9a60281808b1,2024-04-22 07:33:04.727046+00,20240419105906_,,,2024-04-22 07:33:04.547138+00,1
